Emote Name,Image URL
TTours,https://static-cdn.jtvnw.net/emoticons/v2/38436/default/dark/3.0
mcaT,https://static-cdn.jtvnw.net/emoticons/v2/35063/default/dark/3.0
NotATK,https://static-cdn.jtvnw.net/emoticons/v2/34875/default/dark/3.0
HeyGuys,https://static-cdn.jtvnw.net/emoticons/v2/30259/default/dark/3.0
Mau5,https://static-cdn.jtvnw.net/emoticons/v2/30134/default/dark/3.0
PRChase,https://static-cdn.jtvnw.net/emoticons/v2/28328/default/dark/3.0
WutFace,https://static-cdn.jtvnw.net/emoticons/v2/28087/default/dark/3.0
BuddhaBar,https://static-cdn.jtvnw.net/emoticons/v2/27602/default/dark/3.0
PermaSmug,https://static-cdn.jtvnw.net/emoticons/v2/27509/default/dark/3.0
panicBasket,https://static-cdn.jtvnw.net/emoticons/v2/22998/default/dark/3.0
BabyRage,https://static-cdn.jtvnw.net/emoticons/v2/22639/default/dark/3.0
HassaanChop,https://static-cdn.jtvnw.net/emoticons/v2/20225/default/dark/3.0
TheThing,https://static-cdn.jtvnw.net/emoticons/v2/7427/default/dark/3.0
RitzMitz,https://static-cdn.jtvnw.net/emoticons/v2/4338/default/dark/3.0
YouWHY,https://static-cdn.jtvnw.net/emoticons/v2/4337/default/dark/3.0
PipeHype,https://static-cdn.jtvnw.net/emoticons/v2/4240/default/dark/3.0
BrokeBack,https://static-cdn.jtvnw.net/emoticons/v2/4057/default/dark/3.0
ANELE,https://static-cdn.jtvnw.net/emoticons/v2/3792/default/dark/3.0
PanicVis,https://static-cdn.jtvnw.net/emoticons/v2/3668/default/dark/3.0
GrammarKing,https://static-cdn.jtvnw.net/emoticons/v2/3632/default/dark/3.0
PeoplesChamp,https://static-cdn.jtvnw.net/emoticons/v2/3412/default/dark/3.0
SoBayed,https://static-cdn.jtvnw.net/emoticons/v2/1906/default/dark/3.0
BigBrother,https://static-cdn.jtvnw.net/emoticons/v2/1904/default/dark/3.0
Keepo,https://static-cdn.jtvnw.net/emoticons/v2/1902/default/dark/3.0
Kippa,https://static-cdn.jtvnw.net/emoticons/v2/1901/default/dark/3.0
RalpherZ,https://static-cdn.jtvnw.net/emoticons/v2/1900/default/dark/3.0
TF2John,https://static-cdn.jtvnw.net/emoticons/v2/1899/default/dark/3.0
ThunBeast,https://static-cdn.jtvnw.net/emoticons/v2/1898/default/dark/3.0
WholeWheat,https://static-cdn.jtvnw.net/emoticons/v2/1896/default/dark/3.0
DAESuppy,https://static-cdn.jtvnw.net/emoticons/v2/973/default/dark/3.0
FailFish,https://static-cdn.jtvnw.net/emoticons/v2/360/default/dark/3.0
HotPokket,https://static-cdn.jtvnw.net/emoticons/v2/357/default/dark/3.0
4Head,https://static-cdn.jtvnw.net/emoticons/v2/354/default/dark/3.0
