Emote,ID,Image URL
xddd,01GXBF7ADG000DFH6TZSYGGQNV,https://cdn.7tv.app/emote/01GXBF7ADG000DFH6TZSYGGQNV/4x.webp
NAILS,01GRKSG9E000091TEC1A28HSM5,https://cdn.7tv.app/emote/01GRKSG9E000091TEC1A28HSM5/4x.webp
Joel,01G4H6K8E8000FNPC3P1251DYM,https://cdn.7tv.app/emote/01G4H6K8E8000FNPC3P1251DYM/4x.webp
FirstTimeChadder,01HD4A2ZF80001XXDZ5G61G553,https://cdn.7tv.app/emote/01HD4A2ZF80001XXDZ5G61G553/4x.webp
paidchatter,01HFBXR8GG0003CV8WEE0DKACP,https://cdn.7tv.app/emote/01HFBXR8GG0003CV8WEE0DKACP/4x.webp
Looking,01FNCFXWKR000FZADBM40VP6ZW,https://cdn.7tv.app/emote/01FNCFXWKR000FZADBM40VP6ZW/4x.webp
bye,01HEQCDAB800030WBP0NCYZ0XM,https://cdn.7tv.app/emote/01HEQCDAB800030WBP0NCYZ0XM/4x.webp
atia,01HEQCDAB800030WBP0NCYZ0XM,https://cdn.7tv.app/emote/01HEQCDAB800030WBP0NCYZ0XM/4x.webp
myIQ,01GWKRZ68R000A2R0P3QXVDA12,https://cdn.7tv.app/emote/01GWKRZ68R000A2R0P3QXVDA12/4x.webp
War,01H13AEMTR0005EZED5J0EXN3C,https://cdn.7tv.app/emote/01H13AEMTR0005EZED5J0EXN3C/4x.webp
otag,01GYT25QT8000DVPJKHH13026T,https://cdn.7tv.app/emote/01GYT25QT8000DVPJKHH13026T/4x.webp
LIZUN,01H417JC300003PH84VNH1WWTT,https://cdn.7tv.app/emote/01H417JC300003PH84VNH1WWTT/4x.webp
brainrot,01J6SYFZ9R0003R88FPG3QZYDN,https://cdn.7tv.app/emote/01J6SYFZ9R0003R88FPG3QZYDN/4x.webp
demikoDemesio,01JEF3TDRP359K5KWKMCAM7CFZ,https://cdn.7tv.app/emote/01JEF3TDRP359K5KWKMCAM7CFZ/4x.webp
kvailys,01FYWNCE7G000BHTYM8E1XMV40,https://cdn.7tv.app/emote/01FYWNCE7G000BHTYM8E1XMV40/4x.webp
durnas,01HA2JEAFR000ET624ATWN7D32,https://cdn.7tv.app/emote/01HA2JEAFR000ET624ATWN7D32/4x.webp
BOOBA,01GF6E3CPR0008SC6WX3J25C2T,https://cdn.7tv.app/emote/01GF6E3CPR0008SC6WX3J25C2T/4x.webp
Padarom,01J4YEKW0G000DF3H93GN6HTH2,https://cdn.7tv.app/emote/01J4YEKW0G000DF3H93GN6HTH2/4x.webp
